Title,Price,Location,Bedrooms,Baths,Area
Kanal Brand New Royal Spanish Bungalow At The Idea Location Of DHA Phase 7 Walking Distance To Raya Fairway,612.0,"DHA Phase 7 - Block T, DHA Phase 7",5,6,1 Kanal
5 Marla Luxury Modern Design House For Sale In DHA Lahore 9 Town,265.0,"DHA 9 Town, DHA Defence",3,4,5 Marla
1 KANAL ELEGANT AND FULLY MAINTAINED SUPER HOT LOCATED BUNGALOW WITH SERVANT QUARTERS IS AVAILABLE IN THE BEST BLOCK OF DHA LAHORE,900.0,"DHA Phase 7 - Block W, DHA Phase 7",5,6,1 Kanal
1 Kanal Top Quality Build Luxurious Beautiful Modern Design Villa With Basement For Sale In DHA Lahore Phase 7 Prime Location,737.0,"DHA Phase 7 - Block U, DHA Phase 7",5,6,1 Kanal
30 Marla Top Quality Build Luxurious Beautiful Modern Design Villa Full Furnished With Basement 15 Kv Solar Installed For Sale In DHA Lahore Phase 7 Prime Location,1165.0,"DHA Phase 7, DHA Defence",6,6,1.5 Kanal
5 Marla House For Sale,210.0,"Bahria Town - Block AA, Bahria Town - Sector D",3,3,5 Marla
3 Years Instalments Plan 1.5 Storey 5 Marla Brand New House For Sale In Park View City,140.0,"Park View City, Lahore",3,2,5 Marla
3.5 Marla Brand New House Available In Block C New Lahore City,112.00000000000001,"New Lahore City, Lahore",4,3,3.5 Marla
Low Budget Brand New 5 Marla House Available For Sale In Sector E Bahria Town Lahore,215.0,"Bahria Town - Sector E, Bahria Town",3,4,5 Marla
1 Kanal Luxurious Brand New Bungalow For Sale On Top Location of Phase 7 DHA Lahore,1050.0,"DHA Phase 7, DHA Defence",5,7,1 Kanal
5 MARLA BRAND NEW MODERN AND CORNER HOUSE FOR SALE IN PRIME LOCATION OF TARIQ  GARDEN,350.0,"Tariq Gardens - Block B, Tariq Gardens",5,6,5 Marla
5 Marla Ultra Modern Brand New House For Sale In DHA 9 Town Lahore,260.0,"DHA 9 Town, DHA Defence",3,4,5 Marla
